filename,notes,authors,licenses,urls
"body/bodies/male/combat/bright_green.png","see details at https://opengameart.org/content/lpc-character-bases; 'Thick' Male Revised Run/Climb by JaidynReiman (based on ElizaWy's LPC Revised)","bluecarrot16, JaidynReiman, Benjamin K. Smith (BenCreating), Evert, Eliza Wyatt (ElizaWy), TheraHedwig, MuffinElZangano, Durrani, Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, https://opengameart.org/content/lpc-male-jumping-animation-by-durrani, https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle, https://opengameart.org/content/lpc-revised-character-basics, https://opengameart.org/content/lpc-be-seated, https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads, https://opengameart.org/content/lpc-jump-expanded, https://opengameart.org/content/lpc-character-bases"
"head/heads/boarman/adult/combat/bright_green.png","pig by daneeklu adapted to boarman by BenCreating, placed to v3 bases by bluecarrot16","Benjamin K. Smith (BenCreating), Daniel Eddeland (daneeklu)","CC-BY 3.0, GPL 2.0","https://opengameart.org/content/lpc-style-farm-animals, https://opengameart.org/content/lpc-wild-boar, https://opengameart.org/content/lpc-boarman"
"head/faces/${head}/closed/combat/bright_green.png","Original by Redshrike, Expressions by ElizaWy, mapped to all frames by JaidynReiman","JaidynReiman, ElizaWy, Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head, https://opengameart.org/content/ulpc-expanded-expressions"
"arms/armour/plate/male/combat/brass.png","original by wulax, recolors by bigbeargames; adapted to v3 bases and further recolors by bluecarrot16","Michael Whitlock (bigbeargames), Matthew Krohn (makrohn), Johannes Sjölund (wulax)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, http://opengameart.org/content/lpc-clothing-updates"
"legs/skirts/slit/female/combat/black.png","original "TightDress" by Nila122, edited to skirt by ElizaWy, extended to all animation frames and edited for v3 bases by bluecarrot16","Nila122, ElizaWy, bluecarrot16","OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0","https://opengameart.org/content/lpc-clothes-and-hair, http://opengameart.org/content/lpc-clothing-updates"
"arms/bracers/male/combat/silver.png","","Matthew Krohn (makrohn), Johannes Sjölund (wulax)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"wrists/lace/male/combat/silver.png","","bluecarrot16","OGA-BY 3.0","https://opengameart.org/content/lpc-pirates"
"body/tail/lizard/alt/adult/fg/combat/raven.png","edited for v3 bases and recolored by bluecarrot16, additional animations added by JaidynReiman","Nila122, bluecarrot16, JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/drakes-and-lizardfolk"
"body/prosthesis/peg_leg/male/mask/combat/peg_leg.png","","bluecarrot16","CC-BY-SA 3.0","https://opengameart.org/content/lpc-pirates"
"head/ears/down/adult/combat/bright_green.png","","JaidynReiman","OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0","https://opengameart.org/content/lpc-new-elven-ear-variants"
"eyes/human/${head}/none/combat/gray.png","original by Redshrike, mapped to all frames by Matthew Krohn & JaidynReiman","JaidynReiman, Matthew Krohn (makrohn), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles"
"head/nose/elderly/adult/combat/bright_green.png","","ElizaWy","OGA-BY 3.0","https://opengameart.org/content/lpc-revised-elders"
"torso/armour/legion/male/combat/ceramic.png","adapted to v3 bases by bluecarrot16, jump/run/sit/combat and teen by Jaidynreiman","JaidynReiman, bluecarrot16, Nila122","OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0","https://opengameart.org/content/lpc-roman-armor"
"torso/clothes/vest_open/male/combat/forest.png","","bluecarrot16, Thane Brimhall (pennomi), laetissima","CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-2-characters, https://opengameart.org/content/lpc-gentleman, https://opengameart.org/content/lpc-pirates"
"facial/monocle/left/frame/adult/combat/yellow.png","","bluecarrot16, Thane Brimhall (pennomi), laetissima","CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/clothing-facial-features-and-ui-elements, https://opengameart.org/content/lpc-gentleman, https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
"torso/clothes/longsleeve/scoop/male/combat/gray.png","body by Redshrike, scoop shirt by ElizaWy derived from base; adapted to v3 bodies by bluecarrot16; male version adapted from female cutouts and male longsleeve by JaidynReiman, climb/jump/run/sit/emote/revised combat adapted from LPC Revised by JaidynReiman","bluecarrot16, ElizaWy, JaidynReiman, Stephen Challener (Redshrike)","OGA-BY 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, http://opengameart.org/content/lpc-clothing-updates, https://opengameart.org/content/lpc-revised-character-basics, https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing, https://opengameart.org/content/lpc-expanded-sit-run-jump-more, https://opengameart.org/content/lpc-expanded-simple-shirts"
