filename,notes,authors,licenses,urls
"body/bodies/female/combat/bright_green.png","see details at https://opengameart.org/content/lpc-character-bases","Benjamin K. Smith (BenCreating), bluecarrot16, TheraHedwig, Evert, MuffinElZangano, Durrani, Pierre Vigier (pvigier), ElizaWy, Matthew Krohn (makrohn), Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, https://opengameart.org/content/lpc-ladies, https://opengameart.org/content/lpc-7-womens-shirts, https://opengameart.org/content/lpc-jump-expanded, https://opengameart.org/content/lpc-be-seated, https://opengameart.org/content/lpc-revised-character-basics, https://gitlab.com/vagabondgame/lpc-characters, https://opengameart.org/content/lpc-male-jumping-animation-by-durrani, https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle"
"head/heads/troll/adult/combat/bright_green.png","original "Muscleman/Ogre/Minotaur" by Reemax, modified to "Troll" by AntumDeluge, edited to LPC style and converted to modular head by bluecarrot16","bluecarrot16, AntumDeluge, Tuomo Untinen (reemax)","CC-BY 3.0","https://opengameart.org/content/musclemanogreminotaur, https://opengameart.org/content/trolls-0, https://opengameart.org/content/lpc-folk"
"arms/gloves/female/combat/iron.png","metal gloves by wulax, extended to female base by makrohn, recolors by bigbeargames, adapted to v3 bases by bluecarrot16, added to expanded animations by JaidynReiman","Michael Whitlock (bigbeargames), Matthew Krohn (makrohn), Johannes Sjölund (wulax), bluecarrot16","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, http://opengameart.org/content/lpc-clothing-updates"
"body/tail/lizard/adult/fg/combat/bright_green.png","edited for v3 bases and recolored by bluecarrot16, additional animations added by JaidynReiman","Nila122, bluecarrot16, JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/drakes-and-lizardfolk"
"neck/tie/necktie/female/combat/lavender.png","Originally by pennomi/laetissima/Makrohn, edited by bluecarrot16, animations and recolors by JaidynReiman","JaidynReiman, bluecarrot16, Thane Brimhall (pennomi), laetissima, Makrohn","CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-2-characters, https://opengameart.org/content/lpc-gentleman"
"legs/leggings/thin/combat/teal.png","Original bases by Redshrike, thrust/shoot bases by Wulax, adapted from sara's leggings to v3 bases by bluecarrot16, jump/run/sit by JaidynReiman based on ElizaWy's and modified to match","bluecarrot16, ElizaWy, JaidynReiman, Mandi Paugh, William.Thompsonj, Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0","http://opengameart.org/content/sara-wizard, https://opengameart.org/content/lpc-sara, https://opengameart.org/content/lpc-expanded-pants"
"torso/armour/legion/female/combat/brass.png","adapted to v3 bases by bluecarrot16, jump/run/sit/combat and teen by Jaidynreiman","JaidynReiman, bluecarrot16, Nila122","OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0","https://opengameart.org/content/lpc-roman-armor"
"head/ears/lykon/skin/adult/combat/bright_green.png","","JaidynReiman","OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0","https://opengameart.org/content/lpc-furry-ears-tails-for-rpg-sprites"
"torso/clothes/shortsleeve/tshirt_vneck/female/combat/brown.png","original by ElizaWy; spellcast/thrust/shoot/hurt/male adapted from original by JaidynReiman","ElizaWy, JaidynReiman, Stephen Challener (Redshrike), Johannes Sjölund (wulax)","OGA-BY 3.0","https://opengameart.org/content/lpc-revised-character-basics, https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing, https://opengameart.org/content/lpc-expanded-sit-run-jump-more, https://opengameart.org/content/lpc-expanded-simple-shirts"
"shield/heater/original/trim/fg/combat/silver.png","","bluecarrot16, Sander Frenken (castelonia), ElizaWy","OGA-BY 3.0","https://opengameart.org/content/lpc-shields"
"shield/heater/original/wood/bg/combat/oak.png","","bluecarrot16, Sander Frenken (castelonia), ElizaWy","OGA-BY 3.0","https://opengameart.org/content/lpc-shields"
"weapon/sword/arming/universal/fg/combat/steel.png","","ElizaWy; walk and down by JaidynReiman","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Sword%2001%20-%20Arming%20Sword, https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
